FIPS,P00_TF_T,P00_TM_T,NMR_TF0,NMR_TF5,NMR_TF10,NMR_TF15,NMR_TF20,NMR_TF25,NMR_TF30,NMR_TF35,NMR_TF40,NMR_TF45,NMR_TF50,NMR_TF55,NMR_TF60,NMR_TF65,NMR_TF70,NMR_TF75,NMR_TF80,NMR_TF85,NMR_TM0,NMR_TM5,NMR_TM10,NMR_TM15,NMR_TM20,NMR_TM25,NMR_TM30,NMR_TM35,NMR_TM40,NMR_TM45,NMR_TM50,NMR_TM55,NMR_TM60,NMR_TM65,NMR_TM70,NMR_TM75,NMR_TM80,NMR_TM85
34013,416331,387967,0,-0.06,-0.05,-0.03,0.07,0.08,0.01,-0.07,-0.07,-0.09,-0.1,-0.13,-0.13,-0.18,-0.18,-0.13,-0.15,-0.21,-0.01,-0.06,-0.06,-0.02,0.03,0.04,-0.01,-0.08,-0.08,-0.09,-0.08,-0.13,-0.12,-0.21,-0.22,-0.19,-0.2,-0.21
34015,130233,123666,0.09,0.14,0.1,0.03,-0.05,-0.05,0.12,0.15,0.07,0.04,-0.01,0,0.01,0.02,0.03,0.07,0.12,0.35,0.08,0.14,0.08,0.02,-0.08,-0.12,0.1,0.17,0.07,0.02,-0.01,0,-0.04,-0.02,-0.04,0.07,-0.02,0.23
34017,309031,303032,-0.08,-0.15,-0.06,0.08,0.46,0.69,0.16,-0.16,-0.11,-0.06,-0.03,-0.06,-0.08,-0.13,-0.16,-0.12,-0.16,-0.21,-0.08,-0.14,-0.06,0.12,0.5,0.78,0.26,-0.14,-0.15,-0.12,-0.06,-0.06,-0.08,-0.16,-0.21,-0.17,-0.18,-0.3
34019,61143,60325,0.14,0.23,0.17,-0.08,-0.41,-0.11,0.47,0.45,0.26,0.08,-0.05,-0.11,-0.19,-0.17,-0.08,-0.01,0.06,0.29,0.13,0.29,0.14,-0.07,-0.14,-0.17,0.03,0.29,0.28,0.12,-0.01,-0.1,-0.19,-0.22,-0.2,-0.13,-0.02,0.1
34021,178990,172993,0.05,0.04,0.03,0.17,0.26,-0.02,-0.03,0.05,0.02,0.02,-0.04,-0.08,-0.08,-0.1,-0.08,-0.04,-0.05,-0.03,0.03,0.04,0.03,0.14,0.31,0.08,-0.03,0.04,0.01,-0.01,-0.03,-0.08,-0.11,-0.11,-0.14,-0.06,-0.09,-0.03
34023,379838,371532,0.03,0,0.04,0.2,0.44,0.26,0.03,0,-0.02,0.02,0,-0.05,-0.06,-0.05,-0.01,0.02,0.02,0.06,0.03,0.01,0.04,0.22,0.37,0.26,0.09,0,-0.04,-0.01,-0.03,-0.06,-0.09,-0.14,-0.11,0.01,-0.05,0.03
34025,313854,300223,0.07,0.16,0.14,-0.03,-0.2,-0.04,0.29,0.33,0.17,0.06,-0.01,-0.05,-0.06,-0.05,-0.02,0.04,0.06,0.17,0.07,0.16,0.14,0.02,-0.16,-0.1,0.15,0.27,0.19,0.08,0,-0.06,-0.09,-0.1,-0.08,-0.02,0.01,0.08
34027,238413,230986,0.08,0.16,0.12,0,-0.2,0.03,0.26,0.28,0.19,0.06,-0.03,-0.1,-0.14,-0.16,-0.1,0.04,0.16,0.51,0.07,0.15,0.14,0.01,-0.18,-0.01,0.22,0.24,0.17,0.09,-0.03,-0.1,-0.16,-0.2,-0.21,-0.05,-0.01,0.41
34029,265688,242775,0.06,0.14,0.11,0.01,-0.09,0.05,0.33,0.28,0.18,0.1,0.12,0.29,0.6,0.83,0.54,0.23,0.07,-0.06,0.07,0.14,0.14,0.03,-0.08,0.03,0.32,0.27,0.19,0.13,0.11,0.18,0.44,0.89,0.86,0.46,0.18,-0.05
34031,251656,240339,-0.03,-0.06,-0.03,0.08,0.16,0.13,0.05,0.01,-0.01,-0.03,-0.04,-0.06,-0.11,-0.12,-0.11,-0.07,-0.05,0,-0.04,-0.07,-0.01,0.07,0.15,0.13,0.05,0,-0.03,-0.02,-0.04,-0.06,-0.1,-0.17,-0.19,-0.1,-0.09,0.02
